"U:0","U:1","U:2","Points:0","Points:1","Points:2"
37.0806,-0.0289579,0.132165,0.184605,0.0824058,0.09
37.0978,-0.000949158,0.125745,0.186817,0.0824073,0.09
37.0871,-0.00250907,0.12951,0.189029,0.0824089,0.09
37.0678,-0.0362885,0.141819,0.191242,0.0824104,0.09
37.0766,-0.0460594,0.147392,0.193454,0.0824119,0.09
37.0994,-0.0141021,0.140303,0.195666,0.0824135,0.09
37.0971,-0.000298875,0.140136,0.197878,0.082415,0.09
37.0829,-0.0365666,0.153631,0.200091,0.0824166,0.09
37.0837,-0.0567358,0.160232,0.202303,0.0824182,0.09
37.1086,-0.0250585,0.153957,0.204515,0.0824197,0.09
37.1169,-0.01065,0.153635,0.206727,0.0824213,0.09
37.1057,-0.0396028,0.163312,0.208939,0.0824229,0.09
37.1119,-0.0532843,0.167796,0.211152,0.0824244,0.09
37.133,-0.0379043,0.164868,0.213364,0.082426,0.09
37.141,-0.029743,0.163662,0.215576,0.0824276,0.09
37.1458,-0.036785,0.166227,0.217788,0.0824292,0.09
37.1548,-0.040493,0.166902,0.22,0.0824308,0.09
36.704,-0.00686795,0.00837671,-0.00179312,0.084643,0.09
36.7,0,0,-0.004,0.0846462,0.09
36.705,-0.00847796,0.0128295,0.000413963,0.0846399,0.09
36.7072,-0.0206037,0.0205465,0.0026216,0.0846356,0.09
36.7099,-0.0269141,0.0278965,0.00483484,0.0846285,0.09
36.7183,-0.0329595,0.0350474,0.0070571,0.0846287,0.09
36.732,-0.0354539,0.0405017,0.00927729,0.084627,0.09
36.7356,-0.0434807,0.0466683,0.0114995,0.0846205,0.09
36.7396,-0.0588843,0.0560658,0.0137203,0.0846171,0.09
36.761,-0.060869,0.062348,0.0159399,0.0846152,0.09
36.7804,-0.0642644,0.0686065,0.0181625,0.0846119,0.09
36.7909,-0.0755857,0.0749114,0.0203831,0.0846102,0.09
36.7987,-0.0850776,0.082779,0.0226012,0.0846095,0.09
36.8301,-0.0913319,0.0930596,0.0248189,0.084609,0.09
36.8635,-0.095907,0.0968421,0.0270366,0.0846084,0.09
36.8714,-0.103692,0.101498,0.0292542,0.0846079,0.09
36.8881,-0.107917,0.107501,0.0314719,0.0846075,0.09
36.9265,-0.119483,0.119674,0.0336895,0.084607,0.09
36.9685,-0.127663,0.125426,0.0359072,0.0846066,0.09
36.9855,-0.124447,0.120939,0.0381249,0.0846062,0.09
36.9981,-0.12476,0.127729,0.0403426,0.0846058,0.09
37.0475,-0.141116,0.14381,0.0425603,0.0846054,0.09
37.0981,-0.156164,0.147568,0.044778,0.0846051,0.09
37.1181,-0.1361,0.13777,0.0469957,0.0846049,0.09
37.1318,-0.127108,0.141633,0.0492135,0.0846046,0.09
37.1826,-0.155809,0.163215,0.0514312,0.0846045,0.09
37.2382,-0.167344,0.164731,0.053649,0.0846043,0.09
37.2597,-0.133725,0.149026,0.0558671,0.0846041,0.09
37.2733,-0.117518,0.151858,0.0580879,0.0846032,0.09
37.3138,-0.152271,0.173634,0.060317,0.0846017,0.09
37.3674,-0.154195,0.173074,0.0625379,0.0846018,0.09
37.3922,-0.11393,0.154667,0.0647561,0.0846019,0.09
37.3949,-0.102393,0.157065,0.0669739,0.0846021,0.09
37.4248,-0.126283,0.1744,0.0691917,0.0846022,0.09
37.4693,-0.11938,0.168628,0.0714095,0.0846025,0.09
37.4853,-0.0870688,0.157106,0.0736273,0.0846027,0.09
37.4903,-0.0843554,0.159621,0.0758451,0.084603,0.09
37.5017,-0.0872044,0.164515,0.0780629,0.0846034,0.09
37.5236,-0.0650549,0.158244,0.0802807,0.0846038,0.09
37.5344,-0.0638626,0.157753,0.0824985,0.0846042,0.09
37.5423,-0.0717819,0.160518,0.0847163,0.0846047,0.09
37.5416,-0.0451337,0.151246,0.086934,0.0846051,0.09
37.5392,-0.0165606,0.1444,0.0891518,0.0846057,0.09
37.5375,-0.0358563,0.152735,0.0913696,0.0846062,0.09
37.553,-0.0485404,0.152841,0.0935874,0.0846067,0.09
37.5419,-0.00881848,0.135657,0.0958056,0.0846073,0.09
37.5148,0.0112333,0.13182,0.0980247,0.084608,0.09
37.5104,-0.0112315,0.140983,0.100244,0.0846088,0.09
37.5238,-0.0144451,0.137608,0.102465,0.08461,0.09
37.5025,0.0170146,0.123112,0.104685,0.0846113,0.09
37.4674,0.0188562,0.125739,0.106903,0.084612,0.09
37.4619,0.00734281,0.127327,0.109121,0.0846125,0.09
37.4628,0.0214411,0.121572,0.111339,0.0846131,0.09
37.4434,0.0304252,0.116859,0.113556,0.0846136,0.09
37.4094,0.0150815,0.121298,0.115774,0.0846142,0.09
37.3946,0.0218041,0.118366,0.117992,0.0846147,0.09
37.3912,0.0450947,0.109463,0.120209,0.0846152,0.09
37.3704,0.0353564,0.112998,0.122427,0.0846157,0.09
37.3412,0.00657536,0.122188,0.124645,0.0846162,0.09
37.331,0.022619,0.112243,0.126863,0.084617,0.09
37.3116,0.0530656,0.104396,0.129083,0.0846184,0.09
37.2973,0.0303853,0.114389,0.131303,0.0846201,0.09
37.2858,-0.00302492,0.122172,0.133525,0.0846241,0.09
37.265,0.0142476,0.113432,0.135744,0.0846262,0.09
37.2471,0.0472051,0.103735,0.137963,0.0846282,0.09
37.2408,0.0250598,0.115605,0.140181,0.0846289,0.09
37.2351,-0.00915,0.123686,0.142399,0.0846294,0.09
37.2176,0.0080841,0.111717,0.144617,0.0846288,0.09
37.1961,0.0311521,0.108892,0.146838,0.084627,0.09
37.1972,0.0173911,0.116305,0.14906,0.0846246,0.09
37.1974,-0.00121986,0.11744,0.151283,0.0846232,0.09
37.1769,0.00476996,0.112988,0.153507,0.0846223,0.09
37.1555,0.0118857,0.111825,0.155732,0.0846259,0.09
37.1581,0.0088568,0.116033,0.157956,0.0846262,0.09
37.1638,0.0105997,0.112696,0.160179,0.0846253,0.09
37.1408,0.00452341,0.110744,0.162403,0.0846265,0.09
37.1136,-0.0081827,0.117837,0.164626,0.0846259,0.09
37.125,-0.00292225,0.117861,0.166848,0.0846251,0.09
37.1326,0.0122011,0.11067,0.16907,0.084624,0.09
37.1065,0.00533503,0.113469,0.171292,0.0846229,0.09
37.085,-0.0240576,0.124098,0.173513,0.0846218,0.09
37.0995,-0.0284644,0.126512,0.175735,0.0846208,0.09
37.1068,0.00327755,0.116808,0.177956,0.0846198,0.09
37.0868,0.00498803,0.119548,0.180177,0.0846189,0.09
37.0763,-0.0377822,0.134823,0.182393,0.0846195,0.09
37.0863,-0.0546718,0.139999,0.184605,0.0846211,0.09
37.0925,-0.0150498,0.130234,0.186818,0.0846226,0.09
37.0868,0.00198828,0.130003,0.18903,0.0846241,0.09
37.083,-0.0402948,0.14546,0.191242,0.0846257,0.09
37.0849,-0.0707376,0.155288,0.193454,0.0846272,0.09
37.0908,-0.0356518,0.14608,0.195667,0.0846288,0.09
37.0957,-0.00396692,0.143016,0.197879,0.0846303,0.09
37.0982,-0.0416618,0.157919,0.200091,0.0846319,0.09
37.0944,-0.0784662,0.167267,0.202303,0.0846335,0.09
37.1029,-0.0495285,0.161204,0.204515,0.084635,0.09
37.1133,-0.0240387,0.15903,0.206727,0.0846366,0.09
37.1182,-0.050976,0.168691,0.20894,0.0846382,0.09
37.1224,-0.0737194,0.175093,0.211152,0.0846398,0.09
37.1318,-0.0624645,0.172899,0.213364,0.0846414,0.09
37.1417,-0.0500227,0.170984,0.215576,0.084643,0.09
37.1524,-0.0551869,0.173592,0.217788,0.0846446,0.09
37.1629,-0.0593701,0.174597,0.22,0.0846462,0.09
36.7044,-0.00960925,0.0085885,-0.00179333,0.0868584,0.09
36.7,0,0,-0.004,0.0868615,0.09
36.7023,-0.0120262,0.0124772,0.00041355,0.0868552,0.09
36.706,-0.0260437,0.0210879,0.00262093,0.086851,0.09
36.7119,-0.0360094,0.0270123,0.00482994,0.0868428,0.09
36.7154,-0.0449627,0.0365646,0.00704727,0.0868394,0.09
36.7298,-0.0487807,0.0418034,0.00926624,0.0868384,0.09
36.737,-0.0560872,0.0462403,0.0114865,0.0868333,0.09
36.7416,-0.075915,0.0563471,0.0137108,0.0868249,0.09
36.7583,-0.0860423,0.0645289,0.0159313,0.0868218,0.09
36.7757,-0.0879419,0.0726196,0.0181525,0.0868186,0.09
36.7948,-0.0956164,0.0749338,0.020377,0.0868145,0.09
36.8035,-0.11156,0.0823137,0.0225969,0.0868129,0.09
36.8249,-0.128718,0.0976241,0.0248147,0.0868121,0.09
36.8569,-0.131663,0.102488,0.0270323,0.0868114,0.09
36.8764,-0.131029,0.102541,0.0292499,0.0868108,0.09
36.8959,-0.142826,0.106107,0.0314675,0.0868101,0.09
36.9213,-0.168416,0.124999,0.0336851,0.0868095,0.09
36.9601,-0.173658,0.134188,0.0359027,0.0868089,0.09
36.9914,-0.159329,0.122441,0.0381203,0.0868083,0.09
37.0123,-0.166406,0.125346,0.040338,0.0868078,0.09
37.0461,-0.198555,0.150338,0.0425556,0.0868073,0.09
37.0878,-0.209616,0.159636,0.0447733,0.0868069,0.09
37.1279,-0.177432,0.140619,0.046991,0.0868065,0.09
37.155,-0.172099,0.138781,0.0492087,0.0868062,0.09
37.188,-0.214658,0.169997,0.0514265,0.086806,0.09
37.2292,-0.22446,0.17842,0.0536442,0.0868058,0.09
37.2715,-0.176177,0.15323,0.0558624,0.0868055,0.09
37.3031,-0.162042,0.149734,0.0580843,0.0868043,0.09
37.3275,-0.206111,0.180529,0.060317,0.0868022,0.09
37.3627,-0.205116,0.18498,0.062539,0.0868024,0.09
37.4027,-0.154776,0.160059,0.0647573,0.0868026,0.09
37.4269,-0.140346,0.158815,0.0669751,0.0868027,0.09
